category,pokemon_name,count,description
OVERLAPPING,conkeldurr,1.0,Has both stats and images
OVERLAPPING,corphish,1.0,Has both stats and images
OVERLAPPING,corsola,1.0,Has both stats and images
OVERLAPPING,cosmoem,1.0,Has both stats and images
OVERLAPPING,cosmog,1.0,Has both stats and images
OVERLAPPING,cottonee,1.0,Has both stats and images
OVERLAPPING,crabominable,1.0,Has both stats and images
OVERLAPPING,crabrawler,1.0,Has both stats and images
OVERLAPPING,cradily,1.0,Has both stats and images
OVERLAPPING,cranidos,1.0,Has both stats and images
OVERLAPPING,crawdaunt,1.0,Has both stats and images
OVERLAPPING,cresselia,1.0,Has both stats and images
OVERLAPPING,croagunk,1.0,Has both stats and images
OVERLAPPING,crobat,1.0,Has both stats and images
OVERLAPPING,croconaw,1.0,Has both stats and images
OVERLAPPING,crustle,1.0,Has both stats and images
OVERLAPPING,cryogonal,1.0,Has both stats and images
OVERLAPPING,cubchoo,1.0,Has both stats and images
OVERLAPPING,cubone,1.0,Has both stats and images
OVERLAPPING,cutiefly,1.0,Has both stats and images
OVERLAPPING,cyndaquil,1.0,Has both stats and images
OVERLAPPING,darkrai,1.0,Has both stats and images
OVERLAPPING,darmanitan,1.0,Has both stats and images
OVERLAPPING,dartrix,1.0,Has both stats and images
OVERLAPPING,darumaka,1.0,Has both stats and images
OVERLAPPING,decidueye,1.0,Has both stats and images
OVERLAPPING,dedenne,1.0,Has both stats and images
OVERLAPPING,deerling,1.0,Has both stats and images
OVERLAPPING,deino,1.0,Has both stats and images
OVERLAPPING,delcatty,1.0,Has both stats and images
OVERLAPPING,delibird,1.0,Has both stats and images
OVERLAPPING,delphox,1.0,Has both stats and images
OVERLAPPING,deoxys,1.0,Has both stats and images
OVERLAPPING,dewgong,1.0,Has both stats and images
OVERLAPPING,dewott,1.0,Has both stats and images
OVERLAPPING,dewpider,1.0,Has both stats and images
OVERLAPPING,dhelmise,1.0,Has both stats and images
OVERLAPPING,dialga,1.0,Has both stats and images
OVERLAPPING,diancie,1.0,Has both stats and images
OVERLAPPING,diggersby,1.0,Has both stats and images
OVERLAPPING,diglett,1.0,Has both stats and images
OVERLAPPING,ditto,1.0,Has both stats and images
OVERLAPPING,dodrio,1.0,Has both stats and images
OVERLAPPING,doduo,1.0,Has both stats and images
OVERLAPPING,donphan,1.0,Has both stats and images
OVERLAPPING,doublade,1.0,Has both stats and images
OVERLAPPING,dragalge,1.0,Has both stats and images
OVERLAPPING,dragonair,1.0,Has both stats and images
OVERLAPPING,dragonite,1.0,Has both stats and images
OVERLAPPING,drampa,1.0,Has both stats and images
OVERLAPPING,drapion,1.0,Has both stats and images
OVERLAPPING,dratini,1.0,Has both stats and images
OVERLAPPING,drifblim,1.0,Has both stats and images
OVERLAPPING,drifloon,1.0,Has both stats and images
OVERLAPPING,drilbur,1.0,Has both stats and images
OVERLAPPING,drowzee,1.0,Has both stats and images
OVERLAPPING,druddigon,1.0,Has both stats and images
OVERLAPPING,ducklett,1.0,Has both stats and images
OVERLAPPING,dugtrio,1.0,Has both stats and images
OVERLAPPING,dunsparce,1.0,Has both stats and images
OVERLAPPING,duosion,1.0,Has both stats and images
OVERLAPPING,durant,1.0,Has both stats and images
OVERLAPPING,dusclops,1.0,Has both stats and images
OVERLAPPING,dusknoir,1.0,Has both stats and images
OVERLAPPING,duskull,1.0,Has both stats and images
OVERLAPPING,dustox,1.0,Has both stats and images
OVERLAPPING,dwebble,1.0,Has both stats and images
OVERLAPPING,eelektrik,1.0,Has both stats and images
OVERLAPPING,eelektross,1.0,Has both stats and images
OVERLAPPING,eevee,1.0,Has both stats and images
OVERLAPPING,ekans,1.0,Has both stats and images
OVERLAPPING,electabuzz,1.0,Has both stats and images
OVERLAPPING,electivire,1.0,Has both stats and images
OVERLAPPING,electrike,1.0,Has both stats and images
OVERLAPPING,electrode,1.0,Has both stats and images
OVERLAPPING,elekid,1.0,Has both stats and images
OVERLAPPING,elgyem,1.0,Has both stats and images
OVERLAPPING,emboar,1.0,Has both stats and images
OVERLAPPING,emolga,1.0,Has both stats and images
OVERLAPPING,empoleon,1.0,Has both stats and images
OVERLAPPING,entei,1.0,Has both stats and images
OVERLAPPING,escavalier,1.0,Has both stats and images
OVERLAPPING,espeon,1.0,Has both stats and images
OVERLAPPING,espurr,1.0,Has both stats and images
OVERLAPPING,excadrill,1.0,Has both stats and images
OVERLAPPING,exeggcute,1.0,Has both stats and images
OVERLAPPING,exeggutor,1.0,Has both stats and images
OVERLAPPING,exploud,1.0,Has both stats and images
OVERLAPPING,fearow,1.0,Has both stats and images
OVERLAPPING,feebas,1.0,Has both stats and images
OVERLAPPING,fennekin,1.0,Has both stats and images
OVERLAPPING,feraligatr,1.0,Has both stats and images
OVERLAPPING,ferroseed,1.0,Has both stats and images
OVERLAPPING,ferrothorn,1.0,Has both stats and images
OVERLAPPING,finneon,1.0,Has both stats and images
OVERLAPPING,flaaffy,1.0,Has both stats and images
OVERLAPPING,flareon,1.0,Has both stats and images
OVERLAPPING,fletchinder,1.0,Has both stats and images
OVERLAPPING,fletchling,1.0,Has both stats and images
OVERLAPPING,floatzel,1.0,Has both stats and images
OVERLAPPING,floette,1.0,Has both stats and images
OVERLAPPING,florges,1.0,Has both stats and images
OVERLAPPING,flygon,1.0,Has both stats and images
OVERLAPPING,fomantis,1.0,Has both stats and images
OVERLAPPING,foongus,1.0,Has both stats and images
OVERLAPPING,forretress,1.0,Has both stats and images
OVERLAPPING,fraxure,1.0,Has both stats and images
OVERLAPPING,frillish,1.0,Has both stats and images
OVERLAPPING,froakie,1.0,Has both stats and images
OVERLAPPING,frogadier,1.0,Has both stats and images
OVERLAPPING,froslass,1.0,Has both stats and images
OVERLAPPING,furfrou,1.0,Has both stats and images
OVERLAPPING,furret,1.0,Has both stats and images
OVERLAPPING,gabite,1.0,Has both stats and images
OVERLAPPING,gallade,1.0,Has both stats and images
OVERLAPPING,galvantula,1.0,Has both stats and images
OVERLAPPING,garbodor,1.0,Has both stats and images
OVERLAPPING,garchomp,1.0,Has both stats and images
OVERLAPPING,gardevoir,1.0,Has both stats and images
OVERLAPPING,gastly,1.0,Has both stats and images
OVERLAPPING,gastrodon,1.0,Has both stats and images
