type,total_images,red_percentage,orange_percentage,yellow_percentage,light green_percentage,green_percentage,dark green_percentage,cyan_percentage,light blue_percentage,blue_percentage,dark blue_percentage,purple_percentage,pink_percentage,brown_percentage,gray_percentage,black_percentage,white_percentage
bug,297,6.106870229007633,12.213740458015266,4.198473282442748,8.015267175572518,0.0,0.38167938931297707,1.1450381679389312,2.6717557251908395,0.38167938931297707,1.1450381679389312,0.0,1.5267175572519083,4.198473282442748,14.122137404580155,40.0763358778626,3.816793893129771
dark,258,5.263157894736842,7.655502392344498,3.349282296650718,1.4354066985645932,0.9569377990430622,0.4784688995215311,0.0,2.8708133971291865,0.9569377990430622,1.9138755980861244,1.9138755980861244,1.4354066985645932,4.30622009569378,18.181818181818183,46.889952153110045,2.3923444976076556
dragon,144,3.389830508474576,3.389830508474576,0.847457627118644,3.389830508474576,1.694915254237288,0.847457627118644,0.0,5.084745762711865,3.389830508474576,1.694915254237288,0.0,0.0,8.47457627118644,18.64406779661017,46.61016949152542,2.5423728813559325
electric,246,1.82648401826484,11.415525114155251,16.43835616438356,1.82648401826484,0.45662100456621,0.0,0.91324200913242,3.65296803652968,0.0,0.0,0.0,0.91324200913242,1.82648401826484,17.80821917808219,39.726027397260275,3.1963470319634704
fairy,183,8.0,5.333333333333334,0.6666666666666667,0.0,1.3333333333333335,0.6666666666666667,0.0,7.333333333333333,0.6666666666666667,1.3333333333333335,1.3333333333333335,4.0,4.0,14.666666666666666,42.0,8.666666666666668
fighting,180,3.3557046979865772,12.751677852348994,1.342281879194631,0.6711409395973155,0.0,0.6711409395973155,1.342281879194631,4.026845637583892,2.013422818791946,0.6711409395973155,0.6711409395973155,2.013422818791946,8.724832214765101,18.120805369127517,40.939597315436245,2.684563758389262
fire,282,9.157509157509157,27.472527472527474,5.128205128205128,0.3663003663003663,0.0,0.3663003663003663,1.098901098901099,0.7326007326007326,1.8315018315018317,0.0,0.0,0.3663003663003663,6.227106227106227,8.791208791208792,36.63003663003663,1.8315018315018317
flying,450,5.721393034825871,16.417910447761194,2.4875621890547266,3.482587064676617,0.7462686567164178,0.7462686567164178,0.0,5.223880597014925,1.9900497512437811,1.9900497512437811,0.4975124378109453,0.7462686567164178,2.4875621890547266,14.427860696517413,39.55223880597015,3.482587064676617
ghost,132,0.0,7.6923076923076925,1.9230769230769231,0.0,0.9615384615384616,0.9615384615384616,3.8461538461538463,4.807692307692308,0.9615384615384616,6.730769230769231,4.807692307692308,1.9230769230769231,1.9230769230769231,16.346153846153847,45.19230769230769,1.9230769230769231
grass,429,3.6011080332409975,7.202216066481995,11.080332409972298,14.958448753462603,5.263157894736842,2.4930747922437675,1.10803324099723,0.554016620498615,1.3850415512465373,0.0,0.2770083102493075,1.3850415512465373,1.662049861495845,6.3711911357340725,41.82825484764543,0.8310249307479225
ground,345,4.934210526315789,15.131578947368421,2.631578947368421,1.644736842105263,1.644736842105263,0.6578947368421052,0.6578947368421052,5.592105263157895,2.302631578947368,0.9868421052631579,0.6578947368421052,0.3289473684210526,5.921052631578947,15.131578947368421,38.81578947368421,2.9605263157894735
ice,219,5.612244897959184,13.26530612244898,2.5510204081632653,0.0,0.5102040816326531,0.0,1.0204081632653061,10.204081632653061,2.0408163265306123,1.0204081632653061,1.530612244897959,1.530612244897959,4.591836734693878,11.73469387755102,38.265306122448976,6.122448979591836
normal,525,8.008658008658008,20.562770562770563,3.463203463203463,0.21645021645021645,0.4329004329004329,0.21645021645021645,0.8658008658008658,1.5151515151515151,1.0822510822510822,0.6493506493506493,0.6493506493506493,1.2987012987012987,6.277056277056277,11.255411255411255,38.311688311688314,5.194805194805195
poison,309,6.2745098039215685,4.705882352941177,4.705882352941177,3.9215686274509802,1.9607843137254901,3.1372549019607843,1.1764705882352942,3.5294117647058822,2.3529411764705883,1.5686274509803921,6.2745098039215685,3.1372549019607843,2.3529411764705883,12.941176470588237,41.17647058823529,0.7843137254901961
psychic,384,3.9634146341463414,7.926829268292683,8.231707317073171,1.524390243902439,1.8292682926829267,1.524390243902439,2.4390243902439024,6.707317073170732,2.1341463414634148,1.8292682926829267,1.524390243902439,0.9146341463414633,4.2682926829268295,12.5,38.71951219512195,3.9634146341463414
rock,240,2.3923444976076556,13.875598086124402,2.3923444976076556,2.3923444976076556,0.4784688995215311,0.0,0.0,3.827751196172249,0.9569377990430622,0.9569377990430622,0.4784688995215311,1.4354066985645932,8.133971291866029,19.138755980861244,40.19138755980861,3.349282296650718
steel,159,7.462686567164178,0.0,1.4925373134328357,0.0,0.0,0.0,4.477611940298507,11.194029850746269,1.4925373134328357,0.7462686567164178,0.0,0.0,1.4925373134328357,26.865671641791046,41.7910447761194,2.9850746268656714
water,633,3.75234521575985,9.00562851782364,2.0637898686679175,1.3133208255159476,0.18761726078799248,0.37523452157598497,3.189493433395872,14.821763602251407,2.4390243902439024,1.5009380863039399,0.9380863039399625,1.125703564727955,1.6885553470919326,13.696060037523452,40.150093808630395,3.75234521575985
